Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148WS,D_SOD-323,138.7,-93.85,90,top
DR1,LED,LED_0603_1608Metric,121.5,-95.8375,90,top
DT1,LED,LED_0603_1608Metric,121.5,-92.4625,90,top
R1,33,R_0805_2012Metric,131.014214,-85.102766,180,top
R2,10,R_0805_2012Metric,135.757853,-85.115635,180,top
R3,2.2K,R_0805_2012Metric,124.5,-85,180,top
R4,220,R_0805_2012Metric,138.701315,-101.153877,90,top
R5,470,R_0805_2012Metric,131.972936,-103.077297,0,top
R6,2.2K,R_0805_2012Metric,130.2,-94.1,180,top
U1,H11L1,SMDIP-6_W9.53mm,143.84,-93.8,-90,top
