Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148WS,D_SOD-323,-45.593589,91.669282,-90,top
D2,1N4148WS,D_SOD-323,-44.9,78.45,-90,top
D3,1N4148WS,D_SOD-323,-44.9,65.45,-90,top
D4,1N4148WS,D_SOD-323,-44.9,52.5,-90,top
D5,1N4148WS,D_SOD-323,-44.9,38.05,-90,top
DR1,LED,LED_0603_1608Metric,-64.9,92.2125,90,top
DR2,LED,LED_0603_1608Metric,-64.9,79.2875,90,top
DR3,LED,LED_0603_1608Metric,-64.9,66.2125,90,top
DR4,LED,LED_0603_1608Metric,-64.9,53,90,top
DR5,LED,LED_0603_1608Metric,-64.9,40,90,top
DT1,LED,LED_0603_1608Metric,-64.9,31.5,90,top
DT2,LED,LED_0603_1608Metric,-65.004921,44.705298,90,top
DT3,LED,LED_0603_1608Metric,-64.9,57.7875,90,top
DT4,LED,LED_0603_1608Metric,-64.9,70.7125,90,top
DT5,LED,LED_0603_1608Metric,-64.9,83.5,90,top
J1,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-24.9,30,0,top
J1-I1,SJ-3524-SMT,CUI_SJ-3524-SMT,-59.8,88,0,top
J1-I2,SJ-3524-SMT,CUI_SJ-3524-SMT,-59.8,74.955556,0,top
J1-I3,SJ-3524-SMT,CUI_SJ-3524-SMT,-59.8,61.911112,0,top
J1-I4,SJ-3524-SMT,CUI_SJ-3524-SMT,-59.8,48.866668,0,top
J1-I5,SJ-3524-SMT,CUI_SJ-3524-SMT,-59.8,35.822224,0,top
J3,Conn_01x20_Pin,PinSocket_1x20_P2.54mm_Vertical,-41.682216,92.634337,0,top
J4,Conn_01x20_Pin,PinSocket_1x20_P2.54mm_Vertical,-23.9,92.633068,0,top
R1,2.2K,R_0805_2012Metric,-63.03141,30.56704,90,top
R2,33,R_0805_2012Metric,-56.4875,31,0,top
R3,10,R_0805_2012Metric,-64.9,26.9125,-90,top
R4,2.2K,R_0805_2012Metric,-36.967912,55.981842,-90,top
R5,33,R_0805_2012Metric,-55.954013,42.391453,0,top
R6,10,R_0805_2012Metric,-55.971078,44.341825,0,top
R7,2.2K,R_0805_2012Metric,-62.91564,56.507107,90,top
R8,33,R_0805_2012Metric,-55.909397,55.379829,180,top
R9,10,R_0805_2012Metric,-55.923345,57.334651,0,top
R10,2.2K,R_0805_2012Metric,-62.902722,69.657483,90,top
R11,220,R_0805_2012Metric,-56.161803,92.769504,0,top
R12,470,R_0805_2012Metric,-32.607672,82.303316,-90,top
R13,2.2K,R_0805_2012Metric,-62.174137,92.748773,180,top
R14,220,R_0805_2012Metric,-50.3125,79.5,0,top
R15,470,R_0805_2012Metric,-32.4875,69.125,0,top
R16,2.2K,R_0805_2012Metric,-55.830018,79.593657,0,top
R17,220,R_0805_2012Metric,-50.3125,66.5,0,top
R18,470,R_0805_2012Metric,-32.4875,56.25,0,top
R19,2.2K,R_0805_2012Metric,-55.8125,66.5,0,top
R20,220,R_0805_2012Metric,-50.3125,53.5,0,top
R21,33,R_0805_2012Metric,-55.8125,69,0,top
R22,10,R_0805_2012Metric,-45.9,70.9125,90,top
R23,2.2K,R_0805_2012Metric,-62.784069,82.606446,90,top
R24,33,R_0805_2012Metric,-55.830018,81.563105,0,top
R25,10,R_0805_2012Metric,-46.4875,86,180,top
R26,470,R_0805_2012Metric,-32.4875,43.375,0,top
R27,2.2K,R_0805_2012Metric,-61.9875,53.5,180,top
R28,220,R_0805_2012Metric,-50.3125,40.5,0,top
R29,470,R_0805_2012Metric,-32.4875,30.5,0,top
R30,2.2K,R_0805_2012Metric,-55.979007,40.408596,0,top
U2,H11L1,SMDIP-6_W9.53mm,-32.665,88.53,0,top
U3,H11L1,SMDIP-6_W9.53mm,-32.665,75.745,0,top
U4,H11L1,SMDIP-6_W9.53mm,-32.665,62.96,0,top
U5,H11L1,SMDIP-6_W9.53mm,-32.665,50.175,0,top
U6,H11L1,SMDIP-6_W9.53mm,-32.665,37.39,0,top
